#
1
1065
64;1;114468;;;;27200.09;0.00;0.00;9;416;;;000000000001;;;;;;;;;1/19432/203;;;;;;;;;;;;;;;;;;
64;1;114469;;;;0.00;481583.72;0.00;9;416;;;000000000002;;;;;;;;;0/6832/427;;;;;;;;;;;;;;;;;;
42;1;114470;;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
11;1;114470;;101925;;29.50;1.000;30.00;0;416;29.00;29.00;000000000001;;40822426;29.50;;;0000000001;;;1/416/114470;;;;;;0;;;;;;;;;;;;
14;1;114470;;101925;;000000000002;000000000002;0.00;0;416;29.00;29.00;000000000001;;40822426;29.50;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
16;1;114470;;101925;;;1.000;0.00;0;416;29.00;29.00;000000000001;;40822426;;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
40;1;114470;;;0000000001;0;100.00;100.00;0;416;;;0;;;0;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
43;1;114470;;;0000000001;0;29.00;29.00;0;416;;;000000000001;;;;;;0000000001;;;1/19432/203;;;;;;;;;;;;;;;;;;
40;1;114470;;;0000000001;0;-71.00;-71.00;0;416;;;;;;;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
49;1;114470;;;;;;29.00;0;416;;;000000000001;;;;;;0000000001;;;1/19432/203;;;;;;;;;;;;;;;;;;
45;1;114470;;;;;;29.00;0;416;;;000000000001;;;;0002699472008412;9280440301267847;0000000001;14506;2603012908;1/19432/203;;;;;;;;;;;;;;;;;;13.07.2021 10:40:00
55;1;114470;;;;;1.000;29.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114470;;;;;;;;;;;;;;;;;;
42;1;114471;;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114471;;;;;;;;;;;;;;;;;;
11;1;114471;;117994;;115.00;1.000;115.00;0;416;115.00;115.00;000000000002;;4606203103423;115.00;;;0000000001;;;1/416/114471;;;;;;4;04606203103423xq!3TARAB"8Syjf;;;;;;;;;;;
14;1;114471;;117994;;000000000002;000000000002;0.00;0;416;115.00;115.00;000000000002;;4606203103423;115.00;;;0000000001;;;1/416/114471;;;;;;;;;;;;;;;;;;
16;1;114471;;117994;;;1.000;0.00;0;416;115.00;115.00;000000000002;;4606203103423;;;;0000000001;;;1/416/114471;;;;;;;04606203103423xq!3TARAB"8Syjf;;;;;;;;;;;
41;1;114471;;;0000000002;1;115.00;115.00;0;416;;;0;;;0;;;0000000001;;;1/416/114471;;;;;;;;;;;;;;;;;;
43;1;114471;;;0000000002;1;115.00;115.00;0;416;;;000000000002;;;;;;0000000001;;;0/6832/427;;;;;;;;;;;;;;;;;;
49;1;114471;;;;;;115.00;0;416;;;000000000002;;;;;;0000000001;;;0/6832/427;;;;;;;;;;;;;;;;;;
45;1;114471;;;;;;115.00;0;416;;;000000000002;;;;0004848306027616;9280440300913275;0000000001;6833;2800971401;0/6832/427;;;;;;;;;;;;;;;;;;13.07.2021 10:58:00
55;1;114471;;;;;1.000;115.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114471;;;;;;;;;;;;;;;;;;
42;1;114472;;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114472;;;;;;;;;;;;;;;;;;
11;1;114472;;117850;;195.00;1.000;195.00;0;416;195.00;195.00;000000000002;;4606203098385;195.00;;;0000000001;;;1/416/114472;;;;;;4;04606203098385&rajh94ADD8nfI3;;;;;;;;;;;
14;1;114472;;117850;;000000000002;000000000002;0.00;0;416;195.00;195.00;000000000002;;4606203098385;195.00;;;0000000001;;;1/416/114472;;;;;;;;;;;;;;;;;;
16;1;114472;;117850;;;1.000;0.00;0;416;195.00;195.00;000000000002;;4606203098385;;;;0000000001;;;1/416/114472;;;;;;;04606203098385&rajh94ADD8nfI3;;;;;;;;;;;
41;1;114472;;;0000000002;1;195.00;195.00;0;416;;;0;;;0;;;0000000001;;;1/416/114472;;;;;;;;;;;;;;;;;;
43;1;114472;;;0000000002;1;195.00;195.00;0;416;;;000000000002;;;;;;0000000001;;;1/6833/427;;;;;;;;;;;;;;;;;;
49;1;114472;;;;;;195.00;0;416;;;000000000002;;;;;;0000000001;;;1/6833/427;;;;;;;;;;;;;;;;;;
45;1;114472;;;;;;195.00;0;416;;;000000000002;;;;0004848306027616;9280440300913275;0000000001;6834;3827133280;1/6833/427;;;;;;;;;;;;;;;;;;13.07.2021 10:59:00
55;1;114472;;;;;1.000;195.00;0;416;;;000000000002;;;;;;0000000001;;;1/416/114472;;;;;;;;;;;;;;;;;;
42;1;114473;;;;;;;0;416;;;000000000002;;;;;;0000000001;;;1/416/114473;;;;;;;;;;;;;;;;;;
11;1;114473;;106884;;7.50;1.000;7.55;0;416;7.45;7.45;000000000001;;2200000004819;7.50;;;0000000001;;;1/416/114473;;;;;;0;;;;;;;;;;;;
